On,Off,Ms,Scs,Dev,|,freq,Nd=0,Nd=1,Nd=10,Nd=11,Nd=12,Nd=13,Nd=14,Nd=2,Nd=3,Nd=4,Nd=5,Nd=6,Nd=7,Nd=8,Nd=9,|2,Nd=03,Nd=15,Nd=106,Nd=117,Nd=128,Nd=139,Nd=1410,Nd=211,Nd=312,Nd=413,Nd=514,Nd=615,Nd=716,Nd=817,Nd=918,rule,#correct,%correct,p(rule),p(margin),dev_same_as_rule
1,1,4,2,14,|,166,0,0,0,0,0,4.819,95.181,0,0,0,0,0,0,0,0,|,0,0,0,0.02,0.202,7.937,91.378,0,0,0.008,0,0.137,0.202,0.117,0,14,158,95.181,0,0,1
0,0,2,2,14,|,829,0,0,0,0,0.603,3.981,95.175,0,0,0,0,0.121,0.121,0,0,|,0,0,0,0.003,0.044,2.775,97.136,0,0,0.001,0,0.011,0.019,0.012,0,14,789,95.175,0,0,1
0,1,2,2,14,|,623,0,0,0,0,0.161,4.494,95.024,0,0,0,0,0.161,0.161,0,0,|,0,0,0,0.005,0.059,3.495,96.404,0,0,0,0,0.008,0.017,0.012,0,14,592,95.024,0,0,1
1,1,3,2,14,|,328,0,0,0,0.305,0,4.878,94.817,0,0,0,0,0,0,0,0,|,0,0,0,0.01,0.122,6.278,93.444,0,0,0.002,0,0.038,0.065,0.042,0,14,311,94.817,0,0,1
0,0,3,2,14,|,1869,0,0,0,0,0.107,5.029,94.757,0,0,0.054,0,0,0.054,0,0,|,0,0,0,0.005,0.066,3.792,96.037,0,0,0.002,0,0.028,0.044,0.025,0,14,1771,94.757,0,0,1
1,2,3,2,14,|,19,0,0,0,0,0,5.263,94.737,0,0,0,0,0,0,0,0,|,0,0,0,0.004,0.063,3.43,96.466,0,0,0,0,0.007,0.016,0.013,0,14,18,94.737,0,0,1
0,1,1,2,14,|,536,0,0,0,0,0,4.291,94.59,0,0,0,0,0.187,0.373,0.56,0,|,0,0,0,0.009,0.111,5.355,94.484,0,0,0,0,0.007,0.018,0.015,0,14,507,94.59,0,0,1
0,1,1,4,14,|,73,0,0,0,0,0,5.479,94.521,0,0,0,0,0,0,0,0,|,0,0,0,0,0.27,11.81,87.836,0,0,0,0,0.045,0,0.038,0,14,69,94.521,0,0,1
0,2,0,2,14,|,18,0,0,0,0,0,5.556,94.444,0,0,0,0,0,0,0,0,|,0,0,0,0.002,0.043,2.353,97.597,0,0,0,0,0.001,0.002,0.002,0,14,17,94.444,0,0,1
0,0,1,5,0,|,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,|,65.626,0,0,0,0,0,0,0,0,2.172,2.055,21.937,4.232,2.038,1.94,0,0,0,1,1,1
0,0,1,5,5,|,3,0,0,0,0,0,0,0,0,0,0,66.667,0,33.333,0,0,|,0,0,0,0.751,0,0,0,0,0,4.996,68.937,19.821,2.608,0,2.887,5,2,66.667,0.12,0.987,1
1,1,0,4,14,|,18,0,0,0,0,0,5.556,94.444,0,0,0,0,0,0,0,0,|,0,0,0,0,0.279,12.61,87.048,0,0,0,0,0.035,0,0.028,0,14,17,94.444,0,0,1
0,1,3,2,14,|,907,0,0,0,0,0,5.513,94.377,0,0,0,0,0,0.11,0,0,|,0,0,0,0.007,0.09,4.763,95.053,0,0,0.001,0,0.021,0.039,0.025,0,14,856,94.377,0,0,1
0,0,1,5,8,|,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,|,0,0,0,0.197,0,0,0,0,0,0,0.724,0.66,16.556,79.621,2.242,8,0,0,1,1,1
0,0,1,5,9,|,2,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,|,0,0,5.759,0,0,0,0,0,0,0,0.676,1.263,1.291,21.653,69.357,9,1,50,0.936,0.936,1
0,0,1,5,12,|,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,|,0,0,9.385,32.638,57.978,0,0,0,0,0,0,0,0,0,0,12,1,100,1,1,1
0,0,1,5,13,|,2,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,|,0,0,8.416,8.525,32.736,50.322,0,0,0,0,0,0,0,0,0,13,2,100,0.99,0.014,1
0,0,1,6,0,|,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,|,0,0,0,0,0,0,0,0,0,0,0,0,44.814,0,55.186,9,0,0,1,1,0
0,0,1,6,1,|,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,|,0,27.749,0,0,0,0,10.894,0,0,0,0,40.033,21.324,0,0,6,1,100,1,1,0
0,0,1,6,2,|,8,0,0,0,0,0,0,0,12.5,0,0,0,0,25,25,37.5,|,0,0,0,0,0,0,0,15.409,0,0,6.456,0,30.761,29.904,17.471,7,2,25,0.186,0.063,0
0,2,1,4,14,|,52,0,0,0,0,0,5.769,94.231,0,0,0,0,0,0,0,0,|,0,0,0,0,0.143,6.633,93.203,0,0,0,0,0.009,0,0.012,0,14,49,94.231,0,0,1
1,1,2,2,14,|,274,0,0,0,0,0,5.839,94.161,0,0,0,0,0,0,0,0,|,0,0,0,0.006,0.081,4.628,95.221,0,0,0.001,0,0.015,0.028,0.02,0,14,258,94.161,0,0,1
0,0,4,3,14,|,34,0,0,0,0,2.941,2.941,94.118,0,0,0,0,0,0,0,0,|,0,0,0,0.421,6.024,7.731,85.566,0,0,0,0,0,0,0,0.258,14,32,94.118,0,0,1
2,1,3,2,14,|,17,0,0,0,0,0,5.882,94.118,0,0,0,0,0,0,0,0,|,0,0,0,0.011,0.142,7.198,92.58,0,0,0,0,0.013,0.03,0.025,0,14,16,94.118,0,0,1
